Scientific Name,Habitat
Nothobranchius guentheri,Pools
Nothobranchius guentheri,Ponds
Fundulopanchax walkeri,Streams
Fundulopanchax walkeri,Ponds
Fundulopanchax walkeri,Swamp
Pachypanchax omalonotus,Streams
Aphyosemion australe,Swamp
Aphyosemion australe,Streams
Nothobranchius foerschi,Pools
Nothobranchius foerschi,Ponds
Nothobranchius foerschi,Swamp
Nothobranchius foerschi,Flooded Areas
Fundulopanchax sjoestedti,Swamp
Aphyosemion bivittatum,Rivers
Aphyosemion bivittatum,Streams
Epiplatys annulatus,Swamp
Epiplatys annulatus,Streams
Epiplatys annulatus,Rivers
Epiplatys annulatus,Brackish
Cynolebias nigripinnis,Streams
Cynolebias nigripinnis,Rivers
Simpsonichthys myersi,Pools
Simpsonichthys myersi,Swamp
Aphyosemion celiae,Streams
Nothobranchius eggersi,Pools
Nothobranchius eggersi,Swamp
Betta splendens,Flooded Areas
Betta splendens,Swamp
Betta splendens,Ponds
Betta splendens,Canals
Betta splendens,Streams
Betta imbellis,Flooded Areas
Betta imbellis,Swamp
Betta imbellis,Ponds
Betta imbellis,Canals
Betta imbellis,Streams
Betta simorum,Swamp
Betta simorum,Streams
Betta foerschi,Swamp
Betta foerschi,Streams
Betta foerschi,Pools
Trichogaster trichopterus,Ponds
Trichogaster trichopterus,Canals
Trichogaster trichopterus,Swamp
Trichopsis pumilus,Swamp
Trichopsis pumilus,Flooded Areas
Trichopsis pumilus,Rivers
Trichopsis pumilus,Canals
Trichogaster leeri,Swamp
Trichopsis vittatus,Swamp
Trichopsis vittatus,Flooded Areas
Trichopsis vittatus,Rivers
Trichopsis vittatus,Canals
Trichogaster lalius,Ponds
Trichogaster lalius,Swamp
Trichogaster lalius,Streams
Trichogaster lalius,Canals
Trichogaster labiosa,Rivers
Trichogaster labiosa,Ponds
Trichogaster chuna,Ponds
Trichogaster chuna,Flooded Areas
Sphaerichthys selatanensis,Swamp
Trichogaster fasciata,Flooded Areas
Sphaerichthys vaillanti,Swamp
Sphaerichthys vaillanti,Streams
